Actividad principal (CNAE-2009 a 1, 2 y 3 dígitos);Producto consumido;año;Total
062 Extracción de gas natural;Carbón y coque;2019;..
062 Extracción de gas natural;Carbón y coque;2017;..
062 Extracción de gas natural;Carbón y coque;2015;..
062 Extracción de gas natural;Biocombustibles;2022;..
062 Extracción de gas natural;Biocombustibles;2021;..
062 Extracción de gas natural;Biocombustibles;2019;..
062 Extracción de gas natural;Biocombustibles;2017;..
062 Extracción de gas natural;Biocombustibles;2015;..
062 Extracción de gas natural;Calor y otros consumos energéticos;2022;..
062 Extracción de gas natural;Calor y otros consumos energéticos;2021;..
062 Extracción de gas natural;Calor y otros consumos energéticos;2019;..
062 Extracción de gas natural;Calor y otros consumos energéticos;2017;..
062 Extracción de gas natural;Calor y otros consumos energéticos;2015;..
062 Extracción de gas natural;Total consumos energéticos;2022;..
062 Extracción de gas natural;Total consumos energéticos;2021;..
062 Extracción de gas natural;Total consumos energéticos;2019;..
062 Extracción de gas natural;Total consumos energéticos;2017;..
062 Extracción de gas natural;Total consumos energéticos;2015;..
07 Extracción de minerales metálicos;Electricidad;2022;155.297
07 Extracción de minerales metálicos;Electricidad;2021;54.629
07 Extracción de minerales metálicos;Electricidad;2019;44.697
07 Extracción de minerales metálicos;Electricidad;2017;36.569
07 Extracción de minerales metálicos;Electricidad;2015;26.812
07 Extracción de minerales metálicos;Gas;2022;0
07 Extracción de minerales metálicos;Gas;2021;378
07 Extracción de minerales metálicos;Gas;2019;639
07 Extracción de minerales metálicos;Gas;2017;1.207
07 Extracción de minerales metálicos;Gas;2015;13
07 Extracción de minerales metálicos;Gasóleo;2022;8.394
07 Extracción de minerales metálicos;Gasóleo;2021;4.600
07 Extracción de minerales metálicos;Gasóleo;2019;5.504
07 Extracción de minerales metálicos;Gasóleo;2017;6.604
07 Extracción de minerales metálicos;Gasóleo;2015;3.559
07 Extracción de minerales metálicos;Fueloil;2022;0
07 Extracción de minerales metálicos;Fueloil;2021;1.128
07 Extracción de minerales metálicos;Fueloil;2019;674
07 Extracción de minerales metálicos;Fueloil;2017;0
07 Extracción de minerales metálicos;Fueloil;2015;0
07 Extracción de minerales metálicos;Otros productos petrolíferos;2022;543
07 Extracción de minerales metálicos;Otros productos petrolíferos;2021;455
07 Extracción de minerales metálicos;Otros productos petrolíferos;2019;0
07 Extracción de minerales metálicos;Otros productos petrolíferos;2017;106
07 Extracción de minerales metálicos;Otros productos petrolíferos;2015;432
07 Extracción de minerales metálicos;Carbón y coque;2022;0
07 Extracción de minerales metálicos;Carbón y coque;2021;0
07 Extracción de minerales metálicos;Carbón y coque;2019;4.920
07 Extracción de minerales metálicos;Carbón y coque;2017;6.113
07 Extracción de minerales metálicos;Carbón y coque;2015;0
07 Extracción de minerales metálicos;Biocombustibles;2022;73
07 Extracción de minerales metálicos;Biocombustibles;2021;31
07 Extracción de minerales metálicos;Biocombustibles;2019;0
07 Extracción de minerales metálicos;Biocombustibles;2017;0
07 Extracción de minerales metálicos;Biocombustibles;2015;0
07 Extracción de minerales metálicos;Calor y otros consumos energéticos;2022;0
07 Extracción de minerales metálicos;Calor y otros consumos energéticos;2021;0
07 Extracción de minerales metálicos;Calor y otros consumos energéticos;2019;447
07 Extracción de minerales metálicos;Calor y otros consumos energéticos;2017;86
07 Extracción de minerales metálicos;Calor y otros consumos energéticos;2015;3.381
07 Extracción de minerales metálicos;Total consumos energéticos;2022;164.309
07 Extracción de minerales metálicos;Total consumos energéticos;2021;61.221
